id,organization,url,tipo,form_declarado,pasos_declarado,densidad_declarada,url_es_paso,notes
U01,Presidencia de Colombia,https://www.presidencia.gov.co/,portal,no,no,alta,no,
U02,Ministerio de Hacienda,https://www.minhacienda.gov.co/,portal,no,no,alta,no,
U03,Ministerio de Justicia,https://www.minjusticia.gov.co/,portal,no,no,alta,no,
U04,Ministerio de Ambiente,https://www.minambiente.gov.co/,portal,no,no,alta,no,
U05,Superintendencia de Industria y Comercio,https://www.sic.gov.co/,portal,si,no,alta,no,
U06,Banco de la Republica,https://www.banrep.gov.co/,portal,si,no,alta,no,
U07,Alcaldia de Medellin,https://www.medellin.gov.co/,portal,si,no,alta,no,
U08,Alcaldia de Cali,https://www.cali.gov.co/,portal,no,no,alta,no,
U09,Gobernacion de Antioquia,https://antioquia.gov.co/,portal,no,no,alta,no,
U10,IDEAM,http://www.ideam.gov.co/,portal,no,no,alta,no,
U11,Universidad del Norte,https://www.uninorte.edu.co/,institucional,si,no,media,no,
U12,Universidad Industrial de Santander,https://uis.edu.co/,institucional,si,no,media,no,
U13,Universidad del Valle,https://www.univalle.edu.co/,institucional,no,no,alta,no,
U14,Universidad de Caldas,https://www.ucaldas.edu.co/,institucional,no,no,media,no,
U15,Universidad del Cauca,https://www.unicauca.edu.co/,institucional,no,no,media,no,
U16,Cruz Verde,https://www.cruzverde.com.co/,comercio,si,si,alta,no,carrito y flujo de compra
U17,Farmatodo,https://www.farmatodo.com.co/,comercio,si,si,alta,no,carrito y flujo de compra
U18,Ktronix,https://www.ktronix.com/,comercio,si,si,alta,no,carrito y flujo de compra
U19,Makro Colombia,https://www.makro.com.co/,comercio,si,si,alta,no,carrito y flujo de compra
U20,Tiendas D1,https://d1.com.co/,comercio,no,no,media,no,
U21,Corona,https://www.corona.co/,comercio,no,no,media,no,
U22,Totto,https://totto.com/,comercio,si,si,media,no,carrito y flujo de compra
U23,Arturo Calle,https://arturocalle.com/,comercio,si,si,media,no,carrito y flujo de compra
U24,Crepes and Waffles,https://www.crepesywaffles.com.co/,comercio,si,si,media,no,pedido por pasos
U25,Frisby,https://www.frisby.com.co/,comercio,si,si,media,no,pedido por pasos
U26,Copa Airlines,https://www.copaair.com/es-co/,servicio,si,si,media,no,reserva por pasos
U27,Satena,https://www.satena.com/,servicio,si,si,media,no,reserva por pasos
U28,Expreso Brasilia,https://www.expresobrasilia.com/,servicio,si,si,media,no,compra de tiquete por pasos
U29,Bolivariano,https://www.bolivariano.com.co/,servicio,si,si,media,no,compra de tiquete por pasos
U30,Terminal de Transporte de Bogota,https://www.terminaldetransporte.gov.co/,servicio,si,no,media,no,
U31,Davivienda,https://www.davivienda.com/,servicio,si,no,alta,no,
U32,Banco de Bogota,https://www.bancodebogota.com/,servicio,si,no,alta,no,
U33,Banco Caja Social,https://www.bancocajasocial.com/,servicio,si,no,media,no,
U34,Colsubsidio,https://www.colsubsidio.com/,servicio,si,no,alta,no,
U35,Compensar,https://www.compensar.com/,servicio,si,no,alta,no,
U36,Seguros Bolivar,https://www.segurosbolivar.com/,servicio,si,si,media,no,cotizacion por pasos
U37,Sura Seguros Vehiculos,https://www.sura.com/,servicio,si,si,media,no,cotizacion por pasos
U38,Vanguardia,https://www.vanguardia.com/,medios,no,no,alta,no,
U39,El Heraldo,https://www.elheraldo.co/,medios,no,no,alta,no,
U40,El Colombiano,https://www.elcolombiano.com/,medios,no,no,alta,no,
U41,Portafolio,https://www.portafolio.co/,medios,no,no,alta,no,
U42,Caracol Radio,https://caracol.com.co/,medios,no,no,alta,no,
U43,Blu Radio,https://www.bluradio.com/,medios,no,no,alta,no,
U44,Senal Colombia,https://www.senalcolombia.tv/,medios,no,no,media,no,
U45,Cinepolis Colombia,https://cinepolis.com.co/,servicio,si,si,media,no,compra de boleta por pasos
U46,Royal Films,https://www.royal-films.com/,servicio,si,si,media,no,compra de boleta por pasos
U47,Museo Nacional,https://www.museonacional.gov.co/,institucional,no,no,baja,no,
U48,Biblioteca Luis Angel Arango,https://www.banrepcultural.org/,institucional,si,no,media,no,
U49,Seguros Bolivar cotizador de vehiculos,https://www.segurosbolivar.com/seguros/vehiculos/cotizar,servicio,si,si,media,si,la URL entra directamente al cotizador por pasos
U54,Cinepolis cartelera para compra,https://cinepolis.com.co/cartelera,servicio,si,si,media,si,primer paso de la compra de boleta
U55,Ktronix carrito,https://www.ktronix.com/cart,comercio,si,si,media,si,paso de carrito del flujo de compra
U56,Falabella registro de cuenta,https://www.falabella.com.co/falabella-co/myaccount/login,comercio,si,si,media,si,paso de registro o ingreso
U58,Cruz Verde carrito,https://www.cruzverde.com.co/checkout,comercio,si,si,media,si,paso de checkout
U59,RUNT consulta por placa,https://www.runt.gov.co/consultaCiudadana/#/consultaVehiculo,servicio,si,si,media,si,tramite por pasos con formulario
U60,Camara de Comercio de Bogota renovacion,https://www.ccb.org.co/tramites-y-consultas/renovaciones,servicio,si,si,media,si,tramite por etapas
U63,Homecenter carrito,https://www.homecenter.com.co/homecenter-co/cart,comercio,si,si,media,si,paso de carrito
U64,Alkosto carrito,https://www.alkosto.com/cart,comercio,si,si,media,si,paso de carrito
